Number,jstooltiptrigger_URL,Image,Title_URL,Title,Author_URL,Author,minirating,greytext,smalltext,progresstrigger,wtrtoread__spancontains_class_progresstrigger,myrating
1,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SY75_.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games,"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/author/show/153394.Suzanne_Collins,Suzanne Collins," 4.33 avg rating — 6,532,119 ratings",and,and,Want to Read,Want to Read,Rate this book
2,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2._SX50_.jpg,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling," 4.50 avg rating — 2,580,995 ratings",and,and,Want to Read,Want to Read,Rate this book
3,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,https://www.goodreads.com/author/show/1825.Harper_Lee,Harper Lee," 4.28 avg rating — 4,627,182 ratings",and,and,Want to Read,Want to Read,Rate this book
4,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Pride and Prejudice,https://www.goodreads.com/author/show/1265.Jane_Austen,Jane Austen," 4.27 avg rating — 3,086,649 ratings",and,and,Want to Read,Want to Read,Rate this book
5,https://www.goodreads.com/book/show/41865.Twilight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443i/41865._SY75_.jpg,https://www.goodreads.com/book/show/41865.Twilight,"Twilight (Twilight, #1)",https://www.goodreads.com/author/show/941441.Stephenie_Meyer,Stephenie Meyer," 3.60 avg rating — 5,087,005 ratings",and,and,Want to Read,Want to Read,Rate this book
6,https://www.goodreads.com/book/show/19063.The_Book_Thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief,https://www.goodreads.com/author/show/11466.Markus_Zusak,Markus Zusak," 4.37 avg rating — 1,887,415 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
7,https://www.goodreads.com/book/show/170448.Animal_Farm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg,https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm,https://www.goodreads.com/author/show/3706.George_Orwell,George Orwell," 3.95 avg rating — 2,822,518 ratings",and,and,Want to Read,Want to Read,Rate this book
8,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449868701i/11127._SY75_.jpg,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",https://www.goodreads.com/author/show/1069006.C_S_Lewis,C.S. Lewis," 4.26 avg rating — 532,794 ratings",and,and,Want to Read,Want to Read,Rate this book
9,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346072396i/30._SX50_.jpg,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,J.R.R. Tolkien," 4.60 avg rating — 112,415 ratings",and,and,Want to Read,Want to Read,Rate this book
10,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420i/11870085._SY75_.jpg,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars,https://www.goodreads.com/author/show/1406384.John_Green,John Green," 4.20 avg rating — 3,663,593 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
