num_pages,num_reviews,genre1,is_series,Location,title,Author,awards,Root
374 pages,"
    
    173,696
    reviews
","
    
      
        Young Adult
      
        
          31,003 users
        
      
    
    
      
        Fiction
      
        
          17,475 users
        
      
    
    
      
          Science Fiction >
        Dystopia
      
        
          16,222 users
        
      
    
    
      
        Fantasy
      
        
          13,681 users
        
      
    
    
      
        Science Fiction
      
        
          10,621 users
        
      
    
    
      
        Romance
      
        
          3,943 users
        
      
    
    
      
        Adventure
      
        
          3,459 users
        
      
    
    
      
          Young Adult >
        Teen
      
        
          1,880 users
        
      
    
    
      
          Apocalyptic >
        Post Apocalyptic
      
        
          1,643 users
        
      
    
    
      
        Action
      
        
          1,362 users
        
      
    
  See top shelves…
",Series,"
    District 12, Panem

    
    Capitol, Panem

    
    Panem

(United States)


    
","
      The Hunger Games
",Suzanne Collins,"
                  Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)
                      ...more
                          Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Dorothy Canfield Fisher Children's Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)
...less                ",undefined
870 pages,"
    
    43,636
    reviews
",,Series,"
    Hogwarts School of Witchcraft and Wizardry

(United Kingdom)


    
    London, England

    
","
      Harry Potter and the Order of the Phoenix
",J.K. Rowling,"
                  Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)
                      ...more
                          Colorado Blue Spruce Young Adult Book Award (2006), Golden Archer Award for Middle/Junior High (2005), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Carnegie Medal Nominee (2003)
...less                ",undefined
,"
    
    92,951
    reviews
","
    
      
        Classics
      
        
          45,620 users
        
      
    
    
      
        Fiction
      
        
          22,888 users
        
      
    
    
      
          Historical >
        Historical Fiction
      
        
          6,883 users
        
      
    
    
      
          Academic >
        School
      
        
          3,908 users
        
      
    
    
      
        Literature
      
        
          3,008 users
        
      
    
    
      
        Young Adult
      
        
          2,884 users
        
      
    
    
      
        Historical
      
        
          1,809 users
        
      
    
    
      
        Novels
      
        
          1,799 users
        
      
    
    
      
          Academic >
        Read For School
      
        
          1,752 users
        
      
    
    
      
          Young Adult >
        High School
      
        
          1,286 users
        
      
    
  See top shelves…
",Characters,"
                Literary Awards
                
                  Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)
                
              ","
      To Kill a Mockingbird
",Harper Lee,,undefined
279 pages,"
    
    69,421
    reviews
",,,"

Other Editions (6271)

","
      Pride and Prejudice
",Jane Austen,"
All Editions

 | 

Add a New Edition


 | 

Combine
",undefined
,"
    
    105,670
    reviews
","
    
      
        Young Adult
      
        
          19,721 users
        
      
    
    
      
        Fantasy
      
        
          18,648 users
        
      
    
    
      
        Romance
      
        
          11,652 users
        
      
    
    
      
          Paranormal >
        Vampires
      
        
          7,922 users
        
      
    
    
      
        Fiction
      
        
          7,902 users
        
      
    
    
      
          Fantasy >
        Paranormal
      
        
          5,977 users
        
      
    
    
      
          Romance >
        Paranormal Romance
      
        
          2,235 users
        
      
    
    
      
          Fantasy >
        Supernatural
      
        
          2,029 users
        
      
    
    
      
          Young Adult >
        Teen
      
        
          1,532 users
        
      
    
    
      
          Fantasy >
        Urban Fantasy
      
        
          1,510 users
        
      
    
  See top shelves…
",Series,"
    Forks, Washington

(United States)


    
    Phoenix, Arizona

(United States)


    
    Washington (state)

(United States)


    
","
      Twilight
",Stephenie Meyer,"
                  Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)
                      ...more
                          West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008)
...less                ",undefined
552 pages,"
    
    114,588
    reviews
","
    
      
          Historical >
        Historical Fiction
      
        
          19,498 users
        
      
    
    
      
        Fiction
      
        
          13,203 users
        
      
    
    
      
        Young Adult
      
        
          10,493 users
        
      
    
    
      
        Historical
      
        
          4,313 users
        
      
    
    
      
        Classics
      
        
          2,466 users
        
      
    
    
      
        War
      
        
          2,058 users
        
      
    
    
      
          World War II >
        Holocaust
      
        
          1,729 users
        
      
    
    
      
          War >
        World War II
      
        
          1,629 users
        
      
    
    
      
          Writing >
        Books About Books
      
        
          948 users
        
      
    
    
      
        Audiobook
      
        
          940 users
        
      
    
  See top shelves…
",Characters,"
                Literary Awards
                
                  National Jewish Book Award for Children’s and Young Adult Literature (2006), Book Sense Book of the Year Award for Children's Literature (2007), Buxtehuder Bulle (2008), Sydney Taylor Book Award for Teen Readers (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)
                      ...more
                          Michael L. Printz Award Nominee (2007), Exclusive Books Boeke Prize (2007), Rhode Island Teen Book Award Nominee (2008), The Quill Award Nominee for Young Adult/Teen (2006), Zilveren Zoen (2008), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009), Association of Jewish Libraries for Teen Book Award (2006), Lincoln Award Nominee (2010), Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008), Kathleen Mitchell Award, Ena Noel Award (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2009), LovelyBooks Leserpreis for Allgemeine Literatur (2009), Margaret A. Edwards Award (2014)
...less                
              ","
      The Book Thief
",Markus Zusak,,undefined
,"
    
    57,969
    reviews
","
    
      
        Classics
      
        
          32,515 users
        
      
    
    
      
        Fiction
      
        
          18,677 users
        
      
    
    
      
          Science Fiction >
        Dystopia
      
        
          3,796 users
        
      
    
    
      
        Fantasy
      
        
          3,072 users
        
      
    
    
      
        Literature
      
        
          2,736 users
        
      
    
    
      
        Politics
      
        
          2,555 users
        
      
    
    
      
          Academic >
        School
      
        
          2,368 users
        
      
    
    
      
        Science Fiction
      
        
          1,958 users
        
      
    
    
      
        Novels
      
        
          1,698 users
        
      
    
    
      
          Academic >
        Read For School
      
        
          1,029 users
        
      
    
  See top shelves…
",Characters,"
                Literary Awards
                
                  Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)
                
              ","
      Animal Farm
",George Orwell,,undefined
767 pages,"
    
    10,524
    reviews
",,Characters,,"
      The Chronicles of Narnia
",C.S. Lewis,,undefined
1728 pages,"
    
    1,815
    reviews
",,Characters,,"
      J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
",J.R.R. Tolkien,,undefined
,"
    
    156,518
    reviews
","
    
      
        Young Adult
      
        
          21,139 users
        
      
    
    
      
        Romance
      
        
          10,975 users
        
      
    
    
      
        Fiction
      
        
          10,859 users
        
      
    
    
      
        Contemporary
      
        
          7,227 users
        
      
    
    
      
        Realistic Fiction
      
        
          2,420 users
        
      
    
    
      
          Young Adult >
        Teen
      
        
          1,257 users
        
      
    
    
      
          Young Adult >
        Coming Of Age
      
        
          999 users
        
      
    
    
      
        Novels
      
        
          931 users
        
      
    
    
      
        Drama
      
        
          920 users
        
      
    
    
      
        Love
      
        
          835 users
        
      
    
  See top shelves…
",,,"
      The Fault in Our Stars
",John Green,,undefined
