num_ratings,num_reviews,title,series,Root
6532918,173696,"
      The Hunger Games
",1,undefined
2581093,43636,"
      Harry Potter and the Order of the Phoenix
",1,undefined
4627860,92947,"
      To Kill a Mockingbird
",1,undefined
3087328,69415,"
      Pride and Prejudice
",1,undefined
5087195,105670,"
      Twilight
",1,undefined
1887478,114588,"
      The Book Thief
",0,undefined
2823160,57964,"
      Animal Farm
",0,undefined
532857,10524,"
      The Chronicles of Narnia
",1,undefined
112416,1815,"
      J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
",1,undefined
3664504,156518,"
      The Fault in Our Stars
",0,undefined
1089454,20079,"
      Gone with the Wind
",0,undefined
1475256,30971,"
      The Hitchhiker's Guide to the Galaxy
",1,undefined
927076,18179,"
      The Giving Tree
",0,undefined
1375313,38376,"
      Wuthering Heights
",0,undefined
1973549,47655,"
      The Da Vinci Code
",1,undefined
997179,31925,"
      The Picture of Dorian Gray
",0,undefined
1744415,30447,"
      Memoirs of a Geisha
",0,undefined
469611,10879,"
      Alice's Adventures in Wonderland / Through the Looking-Glass
",1,undefined
1661489,43335,"
      Jane Eyre
",1,undefined
693116,17870,"
      Les Misérables
",0,undefined
1732097,49362,"
      Fahrenheit 451
",0,undefined
2988154,108877,"
      Divergent
",1,undefined
2313660,38480,"
      Lord of the Flies
",0,undefined
2094342,19726,"
      Romeo and Juliet
",0,undefined
2174477,82729,"
      The Alchemist
",0,undefined
1281243,58661,"
      The Perks of Being a Wallflower
",0,undefined
3876730,68957,"
      The Great Gatsby
",0,undefined
646266,19996,"
      Crime and Punishment
",0,undefined
1655374,62670,"
      City of Bones
",1,undefined
1156769,43661,"
      Ender's Game
",1,undefined
2217924,85060,"
      The Help
",0,undefined
7279487,115324,"
      Harry Potter and the Sorcerer's Stone
",1,undefined
1422171,41254,"
      The Little Prince
",0,undefined
749473,23907,"
      Anne of Green Gables
",1,undefined
1454084,18501,"
      Charlotte's Web
",0,undefined
1985058,35159,"
      Of Mice and Men
",0,undefined
1599286,47612,"
      The Time Traveler's Wife
",0,undefined
965457,27229,"
      Dracula
",0,undefined
1475247,31466,"
      Brave New World
",0,undefined
770237,31439,"
      One Hundred Years of Solitude
",0,undefined
2057003,62464,"
      The Lightning Thief
",1,undefined
2798534,58685,"
      The Catcher in the Rye
",0,undefined
793869,20636,"
      The Princess Bride
",0,undefined
916304,19428,"
      The Secret Garden
",0,undefined
1179376,55175,"
      A Thousand Splendid Suns
",0,undefined
2046885,54967,"
      A Game of Thrones
",1,undefined
1068049,34273,"
      A Wrinkle in Time
",1,undefined
1164290,15794,"
      The Adventures of Huckleberry Finn
",1,undefined
964552,33929,"
      The Outsiders
",0,undefined
2052531,40807,"
      The Lovely Bones
",0,undefined
836322,12026,"
      Where the Wild Things Are
",0,undefined
634397,9573,"
      Green Eggs and Ham
",0,undefined
877284,12626,"
      The Odyssey
",0,undefined
1366456,47608,"
      Life of Pi
",0,undefined
821810,17840,"
      A Tale of Two Cities
",0,undefined
1404581,59044,"
      Water for Elephants
",0,undefined
675668,25283,"
      Lolita
",0,undefined
1150861,27540,"
      Slaughterhouse-Five
",0,undefined
2483008,74898,"
      The Kite Runner
",0,undefined
1192450,34890,"
      Frankenstein: The 1818 Text
",0,undefined
1508671,72324,"
      The Handmaid's Tale
",1,undefined
1836382,65998,"
      The Giver
",1,undefined
806220,25712,"
      Dune
",1,undefined
734600,18640,"
      Catch-22
",1,undefined
630118,21419,"
      The Stand
",0,undefined
667769,32063,"
      The Pillars of the Earth
",1,undefined
249156,6957,"
      The Adventures of Sherlock Holmes
",1,undefined
440939,14015,"
      Watership Down
",1,undefined
664811,16434,"
      Great Expectations
",0,undefined
1715667,31138,"
      Little Women
",1,undefined
2883244,66759,"
      Harry Potter and the Deathly Hallows
",1,undefined
606354,23870,"
      The Bell Jar
",0,undefined
681129,24903,"
      Anna Karenina
",0,undefined
641349,11366,"
      One Flew Over the Cuckoo's Nest
",0,undefined
674122,17072,"
      Matilda
",0,undefined
3249346,72354,"
      1984
",0,undefined
847180,46080,"
      Outlander
",1,undefined
1072348,33675,"
      My Sister's Keeper
",0,undefined
2666420,69213,"
      The Girl with the Dragon Tattoo
",1,undefined
470954,25510,"
      Rebecca
",0,undefined
532894,15838,"
      The Color Purple
",1,undefined
394312,21049,"
      A Tree Grows in Brooklyn
",0,undefined
612729,14139,"
      A Clockwork Orange
",0,undefined
249627,11570,"
      The Brothers Karamazov
",1,undefined
731588,46343,"
      The Road
",0,undefined
549904,12079,"
      Angela's Ashes
",1,undefined
562149,22401,"
      Vampire Academy
",1,undefined
598073,18077,"
      Siddhartha
",0,undefined
665812,23486,"
      The Poisonwood Bible
",0,undefined
2902212,57134,"
      Harry Potter and the Prisoner of Azkaban
",1,undefined
1312516,22774,"
      The Golden Compass
",1,undefined
215474,8351,"
      Don Quixote
",0,undefined
2400060,23527,"
      The Fellowship of the Ring
",1,undefined
357997,17586,"
      Atlas Shrugged
",0,undefined
855093,25967,"
      The Old Man and the Sea
",0,undefined
1359830,20227,"
      The Notebook
",1,undefined
225436,2249,"
      The Complete Stories and Poems
",0,undefined
278443,4958,"
      Winnie-the-Pooh
",1,undefined
494198,10501,"
      Interview with the Vampire
",1,undefined
288639,13969,"
      A Prayer for Owen Meany
",0,undefined
485497,16071,"
      Moby-Dick or, the Whale
",0,undefined
2671820,47861,"
      Harry Potter and the Goblet of Fire
",1,undefined
527580,19402,"
      The Red Tent
",0,undefined
1133728,30784,"
      The Secret Life of Bees
",0,undefined
688113,32421,"
      Clockwork Angel
",1,undefined
2506170,40523,"
      Harry Potter and the Half-Blood Prince
",1,undefined
861317,35069,"
      And Then There Were None
",0,undefined
587730,23353,"
      Middlesex
",0,undefined
729657,24100,"
      The Stranger
",0,undefined
251017,12024,"
      The Master and Margarita
",0,undefined
1155908,25711,"
      The Shining
",1,undefined
739187,42902,"
      The Name of the Wind
",1,undefined
775008,10250,"
      The Adventures of Tom Sawyer
",1,undefined
1469983,22484,"
      Eragon
",1,undefined
683158,12297,"
      Charlie and the Chocolate Factory
",1,undefined
490653,19093,"
      Flowers for Algernon
",0,undefined
667580,18599,"
      The Metamorphosis
",0,undefined
355301,15217,"
      On the Road
",1,undefined
1144671,56833,"
      Looking for Alaska
",0,undefined
1219419,44753,"
      The Curious Incident of the Dog in the Night-Time
",0,undefined
479020,36831,"
      The Shadow of the Wind
",1,undefined
406888,8131,"
      The Very Hungry Caterpillar
",0,undefined
