,2009,2010,2011,2008,2003,2004,2005,2007,2006,2012,2014,2013,1998,2002,1999,2001,2000,1997,2015,1992,2016,1995,1996,2017,2018,1991,1990,2019
The Hunger Games,12.0,12.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Order of the Phoenix,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
Pride and Prejudice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight,2.0,1.0,,9.0,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,
The Da Vinci Code,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
The Picture of Dorian Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Misérables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divergent,,,1.0,,,,,,,4.0,10.0,2.0,,,,,,,,,,,,,,,,
Harry Potter and the Sorcerer's Stone,,,,1.0,,,,,,,,,3.0,2.0,4.0,5.0,8.0,2.0,,,,,,,,,,
The Lightning Thief,2.0,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
A Thousand Splendid Suns,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
A Game of Thrones,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
Catch-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watership Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Deathly Hallows,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
The Bell Jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonfly in Amber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast at Tiffany's and Three Stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daughter of Smoke & Bone,,,3.0,,,,,,,3.0,2.0,2.0,,,,,,,1.0,,,,,,,,,
The Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna and the French Kiss,,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
"Faust, First Part",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Angel Experiment,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Flowers in the Attic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unbroken: A World War II Story of Survival, Resilience and Redemption",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blood Meridian, or the Evening Redness in the West",,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Fidelity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemis Fowl,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,
War and Peace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuromancer,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Lover Awakened,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Voyage of the Dawn Treader,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown of Midnight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Dance with Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heir of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I, Robot",,,,,,,,,,,,,,,,,,,,,,,,,,,,
